,Seq_2Layer_32_64_ReLU_Adam,RandomForest,Simple_1Layer_32_ReLU_Adam,Deep_3Layer_128_256_128_ReLU_Adam,all,Complex_4Layer_128_256_256_128_ReLU_Adam,Deep_3Layer_64_128_64_ReLU_Adam,DecisionTree
accuracy,"[0.9696666666666668, 0.9711000000000001, 0.9702500000000001, 0.9721250000000001, 0.9695]","[0.97975, 0.9793000000000001, 0.9805, 0.9795, 0.9788333333333333]","[0.9662, 0.9658333333333333, 0.9668749999999999, 0.9675, 0.9665]","[0.956, 0.9525, 0.9530999999999998, 0.95375, 0.954625]",[],"[0.9682999999999999, 0.9695, 0.9685, 0.96925, 0.9705]","[0.9675, 0.9652000000000001, 0.9646666666666667, 0.966, 0.965875]","[0.9725, 0.9725, 0.975, 0.9745, 0.9726666666666667]"
precision,"[0.9503316333138164, 0.9525187336994954, 0.9505197905257392, 0.9536679385349485, 0.946344126506024]","[0.9722464791771575, 0.9724364355680472, 0.9717686842840144, 0.9729060493045261, 0.9720100044568319]","[0.9370203464643438, 0.9362497074728107, 0.9382175608848883, 0.9369932432432432, 0.9368254899240753]","[0.9583748689498516, 0.9471173527077338, 0.9474175882402202, 0.9515704362204374, 0.9491586151468168]",[],"[0.9507818382727944, 0.9492273057300812, 0.952102148227238, 0.9525787425646111, 0.9482601809954752]","[0.93605625, 0.9316194000000001, 0.9305868333333334, 0.93315825, 0.9329226875000001]","[0.9754349218876268, 0.9719664467610836, 0.976806682468791, 0.9766246452887106, 0.976042905946382]"
recall,"[0.9696666666666668, 0.9711000000000001, 0.9702500000000001, 0.9721250000000001, 0.9695]","[0.97975, 0.9793000000000001, 0.9805, 0.9795, 0.9788333333333333]","[0.9662, 0.9658333333333333, 0.9668749999999999, 0.9675, 0.9665]","[0.956, 0.9525, 0.9530999999999998, 0.95375, 0.954625]",[],"[0.9682999999999999, 0.9695, 0.9685, 0.96925, 0.9705]","[0.9675, 0.9652000000000001, 0.9646666666666667, 0.966, 0.965875]","[0.9725, 0.9725, 0.975, 0.9745, 0.9726666666666667]"
f1-score,"[0.9585637707999352, 0.9602753619778912, 0.9587754391570712, 0.9617648982869218, 0.9567570664629488]","[0.9749373413547993, 0.9745129046896477, 0.9756016097394032, 0.974839423519822, 0.9740915153498483]","[0.9506699758150017, 0.9500923733240413, 0.9515287076452197, 0.9520022883295196, 0.9507317011353831]","[0.951393886328725, 0.9467769650929481, 0.9475547611311637, 0.9488272555923694, 0.9489233555959615]",[],"[0.9554742349446418, 0.9574766109554468, 0.9559421445440718, 0.9567904248331747, 0.9585328746177372]","[0.9515184243964424, 0.9481103232829655, 0.9473190573863449, 0.9492945901569894, 0.9491108340400126]","[0.9737386187610394, 0.9720450413007712, 0.9756928350877143, 0.975319345321113, 0.9740430971763415]"
roc_auc,"[0.7937879349271989, 0.8112313437556864, 0.7771769644479734, 0.8100199714080385, 0.7695949537112327]","[0.8574659965767186, 0.8714887028966484, 0.8683261766943937, 0.8644999253379823, 0.8601003616937196]","[0.8297988449432422, 0.8516126364739703, 0.8376624470721103, 0.8502167029066253, 0.8508626315534327]","[0.8345394112060779, 0.7941431886114092, 0.7892634429918866, 0.7968448161564738, 0.7863826213070647]",[],"[0.8465912368284707, 0.8686810877438373, 0.8690242381659165, 0.8562061292353105, 0.8611318381589701]","[0.5949529081312027, 0.6058999538909967, 0.6140024944727769, 0.6057333818190299, 0.6105674193826118]","[0.7280300702026623, 0.7317580997813556, 0.7337498510537472, 0.7285841392140094, 0.7325722231743846]"
training_time,"[35.347960472106934, 35.078568029403684, 35.06852090358734, 35.197389364242554, 34.27728748321533]","[0.48962414264678955, 0.48947787284851074, 0.4869570732116699, 0.48865288496017456, 0.48976627985636395]","[31.223886489868164, 30.864702145258587, 31.012815117836, 30.87917470932007, 30.871913194656372]","[90.17013835906982, 89.13656997680664, 89.45696482658386, 90.23246622085571, 89.24089521169662]",[],"[118.99920382499695, 116.91283535957336, 117.43865768114726, 118.75269079208374, 117.48844695091248]","[43.6376838684082, 45.255903816223146, 44.595836321512856, 44.17825210094452, 45.02638119459152]","[0.027634859085083, 0.0269782543182373, 0.027125358581542962, 0.027570247650146477, 0.028026262919108067]"
