accuracy,precision,recall,f1-score,roc_auc,confusion_matrix,training_time
0.9705,0.9482601809954752,0.9705,0.9585328746177371,0.8611318381589701,"[[   0   15    0    0    0    0]
 [   0 1933    0    2    0    0]
 [   0   13    0    0    0    0]
 [   0   11    1    8    0    0]
 [   0    6    0    0    0    0]
 [   0   11    0    0    0    0]]",117.48844695091248
0.9685,0.9501944304646871,0.9685,0.9564203472931563,0.8762303373287045,"[[   1   21    0    0    0    0]
 [   0 1928    0    1    0    0]
 [   0   15    0    0    0    0]
 [   2   13    1    8    0    0]
 [   0    4    0    0    0    0]
 [   0    6    0    0    0    0]]",116.33722376823424
0.9665,0.9578518332215515,0.9665,0.9528732117213218,0.8697105390100748,"[[   1   28    1    0    0    0]
 [   0 1923    0    1    0    0]
 [   0   18    1    0    0    0]
 [   0    9    0    8    0    0]
 [   0    2    0    0    0    0]
 [   0    8    0    0    0    0]]",118.49030232429504
0.9715,0.9540085255767302,0.9715,0.9593352657004831,0.8177518024434927,"[[   0   21    0    0    0    0]
 [   0 1939    0    0    0    0]
 [   1   11    1    0    0    0]
 [   0   12    1    3    0    0]
 [   0    3    0    0    0    0]
 [   0    8    0    0    0    0]]",122.6947901248932
