accuracy,precision,recall,f1-score,roc_auc,confusion_matrix,training_time
0.9715,0.9726855907282478,0.9715,0.9718746326175121,0.7406939701125749,"[[  13    2    0    0    0    0]
 [   2 1904   11    6    4    8]
 [   0    3    8    1    0    1]
 [   0    3    0   17    0    0]
 [   0    6    0    0    0    0]
 [   0    9    1    0    0    1]]",0.0272967815399169
0.9755,0.9814662647780815,0.9755,0.9780711396742793,0.7432215231632028,"[[  21    1    0    0    0    0]
 [   5 1902    3    0    4   15]
 [   0    4    8    0    1    2]
 [   0    5    0   19    0    0]
 [   0    4    0    0    0    0]
 [   0    5    0    0    0    1]]",0.0283987522125244
0.973,0.9775066940589736,0.973,0.9749412442212658,0.7430080628377843,"[[  22    4    2    2    0    0]
 [   2 1896    4    6    9    7]
 [   1    6   11    1    0    0]
 [   0    2    0   15    0    0]
 [   0    2    0    0    0    0]
 [   0    6    0    0    0    2]]",0.0289473533630371
