,accuracy,loss
0,0.890375018119812,1.9281363487243652
1,0.9642500281333923,0.5254310369491577
2,0.9639999866485596,0.3383854031562805
3,0.9648749828338623,0.3154960572719574
4,0.9647499918937683,0.3029365539550781
5,0.9646250009536743,0.2984904646873474
6,0.9648749828338623,0.2939722537994385
7,0.9642500281333923,0.28355640172958374
8,0.9651250243186951,0.282272070646286
9,0.9648749828338623,0.2788151800632477
10,0.9647499918937683,0.26988908648490906
11,0.9651250243186951,0.2694337069988251
12,0.9652500152587891,0.26423370838165283
13,0.9649999737739563,0.26534369587898254
14,0.9651250243186951,0.25610965490341187
15,0.9653750061988831,0.25473591685295105
16,0.9653750061988831,0.24062290787696838
17,0.9652500152587891,0.23704646527767181
18,0.9653750061988831,0.23139014840126038
19,0.9653750061988831,0.23885339498519897
20,0.9653750061988831,0.22686026990413666
21,0.9653750061988831,0.2280588299036026
22,0.9653750061988831,0.22542546689510345
23,0.9653750061988831,0.22477756440639496
24,0.9653750061988831,0.2267085164785385
25,0.9653750061988831,0.219718798995018
26,0.9653750061988831,0.21942900121212006
27,0.9653750061988831,0.2224312275648117
28,0.9653750061988831,0.21691186726093292
29,0.9653750061988831,0.21609877049922943
30,0.9653750061988831,0.21506758034229279
31,0.9653750061988831,0.2139272540807724
32,0.9653750061988831,0.21282584965229034
33,0.9653750061988831,0.20846769213676453
34,0.9653750061988831,0.20929059386253357
35,0.9653750061988831,0.2093507945537567
36,0.9653750061988831,0.21007002890110016
37,0.9653750061988831,0.20702005922794342
38,0.9653750061988831,0.21034905314445496
39,0.9653750061988831,0.2072463035583496
40,0.9653750061988831,0.2093786895275116
41,0.9653750061988831,0.20637190341949463
42,0.9653750061988831,0.20391100645065308
43,0.9653750061988831,0.21024826169013977
44,0.9653750061988831,0.20597873628139496
45,0.9653750061988831,0.20450536906719208
46,0.9653750061988831,0.20689526200294495
47,0.9653750061988831,0.2026122510433197
48,0.9653750061988831,0.19964942336082458
49,0.9653750061988831,0.2073567509651184
