accuracy,precision,recall,f1-score,roc_auc,confusion_matrix,training_time
0.9675,0.9360562499999999,0.9675,0.9515184243964423,0.7264802607670825,"[[   0   15    0    0    0    0]
 [   0 1935    0    0    0    0]
 [   0   13    0    0    0    0]
 [   0   20    0    0    0    0]
 [   0    6    0    0    0    0]
 [   0   11    0    0    0    0]]",89.9924669265747
0.9445,0.9361729381443299,0.9445,0.9396860392127904,0.7130060388750125,"[[   0   22    0    0    0    0]
 [   0 1879    0   50    0    0]
 [   0   15    0    0    0    0]
 [   0   14    0   10    0    0]
 [   0    4    0    0    0    0]
 [   0    6    0    0    0    0]]",93.07899260520936
0.9615,0.9325268681780017,0.9615,0.9467691465208493,0.6333036291530872,"[[   0   30    0    0    0    0]
 [   0 1916    0    8    0    0]
 [   0   19    0    0    0    0]
 [   0   10    0    7    0    0]
 [   0    2    0    0    0    0]
 [   0    8    0    0    0    0]]",93.03079557418825
0.926,0.9554989316239316,0.926,0.9390982827487682,0.7392843410660263,"[[   0    9    0   12    0    0]
 [   0 1844    0   95    0    0]
 [   0    1    0   12    0    0]
 [   0    8    0    8    0    0]
 [   0    2    0    1    0    0]
 [   0    8    0    0    0    0]]",94.14557719230652
0.9635,0.9323767570281125,0.9635,0.9474211229158893,0.6893238870183314,"[[   0   22    2    0    0    0]
 [   0 1925    0    0    0    0]
 [   0   16    2    0    0    0]
 [   0   15    3    0    0    0]
 [   0    3    0    0    0    0]
 [   0   11    1    0    0    0]]",96.56194639205933
